Related Ids	Улица	Дом	Корпус	Строение	Год постройки	Этажность	Тип дома	Назначение	Высота этажа	Общая площадь	Лифт
1067804	бульвар Смоленский	13		1							
1068079	переулок Ботанический	7									
1068377	проспект Ленинградский	37а		оор2							
1068380	улица 2-я Звенигородская	12		6							
1175768	улица Солянка	7									
1175818	улица Садовая-Черногрязская	8		5							
1175900	улица Кржижановского	13	2								
1220856	набережная Андреевская	2		5							
1221982	улица Вильгельма Пика	8									
1223417	улица Ефремова	10с1	1	4/4							
1224889	улица Удальцова	1	1								
1226164	улица Лосиноостровская	30а		8							
1241953	улица Юности	8									
1242275	проспект Ленинградский	36		11							
1243756	переулок 4-й Лесной	13									
1244619	улица Ефремова	10с1	1	4/2							
1244673	улица 1-я Леонова	1									
1245052	улица Бауманская	32		1							
1376505	бульвар Большой	42		1							
1376575	улица Садовая-Черногрязская	16-18		1							
1376751	проспект Ленинградский	36		9							
1450869	проспект Ленинский	96									
1467862	улица Днепропетровская	4б									
1467993	улица Большая Якиманка	26									
1468729	улица Коровий Вал	5									
1468856	переулок Большой Овчинниковский	20									
1469549	улица Краснопролетарская	36									
1484195	переулок Мещерский	6	2								
1058597, 1484218	шоссе Киевское	24-й 	м								
1062251, 1058912, 1379947, 1061232, 1061814, 1058684, 1059524, 1380522, 1058554	площадь Новая	6									
1066151, 1066243	переулок Нижний Сусальный	5		35							
1067911, 13365	улица Тверская	14									
1105, 16237, 1062434, 24128, 25045, 27627, 25418, 36753, 37954, 21662, 51390, 27871, 15635, 1193, 27865, 4151, 2413, 29630, 21584, 2343, 50174, 26637, 3511, 51286	улица Знаменка	7		3							
1175885, 1062990, 1061027	проезд 1-й Красногвардейский	19									
1220835, 74900	улица Садовая-Черногрязская	8		3							
1239766, 14484, 60470	набережная Дербеневская	11	б								
1241077, 1241115, 1243420, 1241080, 1243458, 1451184, 13024, 1375813, 1380242, 1243453	улица Малая Никитская	16/5									
1241570, 1380401, 1059790, 41349	улица Партизанская	35	3								
13126, 12686, 1058777, 58630, 1058851	улица Селезневская	30	б-в								
1380559, 1392251	переулок Скатертный	18									
1448602, 50602	переулок 1-й Кадашевский	13		1							
1451280, 1061040	улица Архитектора Щусева	1									
1468030, 1056842, 1062542	улица Вавилова	2/1									
20791, 72417, 28025, 1145	улица Лесная	5а									
21831, 26201, 67494	набережная Озерковская	44									
25255, 31491, 5100, 5076, 24440, 41371	проспект Мира	102									
26339, 47967, 76, 32649, 48931, 22092, 20280, 112, 24858, 2426, 1818, 14757	проспект Ленинградский	1									
27928, 71690	улица Молодогвардейская	4									
30502, 1065444, 35522, 1065440	проспект Вернадского	37	1а								
35060, 77109	улица Велозаводская	13		1							
35315, 58413	улица Новочеремушкинская	44	3								
44245, 56197	проспект Олимпийский	16		2							
50626, 39911, 31085	бульвар Страстной	8									
51585, 1376220	улица Мещанская	1/17		1							
52179, 70012, 35296	шоссе Варшавское	120	1								
54654, 1239933, 1058322	переулок Калашный	4									
60938, 1468699	шоссе Ленинградское	25	1								
65386, 42057, 11990	набережная Пресненская	10		1							
67228, 69541, 52181, 15917	улица Академика Пилюгина	22	1								
6767, 2067	улица Гончарная	18/2		2							
68494, 1451275	улица 3-я Хорошевская	21а									
72021, 73349, 33482, 22889	улица Самотечная	вл7									
73360, 39098, 13013	улица Наметкина	6									
74596, 10323	переулок Большой Саввинский	12		20							
76901, 33638, 33226	улица Малая Пироговская	6/4									
77018, 5653	улица Бауманская	9									
78563, 1467288	улица Минская	1а									
81100, 64690, 22199	проспект Олимпийский	8									
82762, 589	улица Садовническая	57а		1							
83581, 66782	улица Большая Якиманка	22	3								
49159, 10556, 13676	улица Балчуг	7									
1063645, 25396, 1469604	переулок Малый Казенный	3									
61451, 1027, 1376676	переулок Маяковского	11		1							
18984, 21334, 12315, 50601	переулок Бобров	4		4							
52981, 20069, 1242630, 1222111, 36021, 5486	переулок Оружейный	15		1							
25510, 11712, 4624, 19820, 809	проспект Ленинградский	39		80							
1063095, 1066769, 1244318, 1066555, 1392287, 1066768, 1451478, 1175189, 1244958	переулок Малый Каковинский	8									
1064790, 1063525, 1063621	улица Моховая	7/4									
1066780, 1066274	шоссе Ленинградское	37	2								
11673, 1062754	улица Летниковская	2		4							
1175939, 57241	улица Малая Дмитровка	20									
1221555, 64639, 45358	улица Большая Черемушкинская	13/17		8							
1242182, 1059398	улица Каховка	31									
1244813, 1469507	переулок Кривоарбатский	16/22									
1244826, 1068194	переулок 4-й Голутвинский	1/8		4							
1375746, 1451044	улица Матвеевская	20	3								
1376543, 1468921, 1067576, 1066234, 1175271, 1244961, 1376441, 1226677, 1224409	шоссе Ленинградское	37	1								
15214, 38989	улица Староволынская	15	6								
16744, 24708	улица Вавилова	91									
16872, 65513	бульвар Гоголевский	31		2							
21387, 71212, 22036, 70960, 21369, 75168, 74242, 48934, 20663, 71211, 80535	улица Трофимова	9		1							
37441, 68068	проспект Ленинградский	вл36	8								
38797, 36171	улица Измайловский Вал	30		3							
38867, 40138	улица Сретенка	8									
40547, 1224843, 47977	улица Николоямская	36		1							
40734, 69301	площадь Трубная	2									
42499, 42495, 79131	улица Большая Черемушкинская	13а									
44890, 1450975	улица Павловская	вл7									
47635, 1225199	улица Крылатская	15		2							
49841, 77926	улица Большая Пироговская	27									
52803, 35512, 1451083	бульвар Ходынский	2									
54468, 39600, 19231	улица 3-я Песчаная	2		4							
55922, 1068036, 30916	улица Тестовская	20		1							
56092, 44806	проспект Ленинградский	вл36	5								
57141, 80849, 31357, 1369, 1064341	проспект Ленинградский	31		1							
57683, 1066058	переулок Большой Дровяной	6									
59324, 1484170, 51618, 49228	переулок 3-й Крутицкий	11									
60027, 58221, 11695	улица Большая Ордынка	40		4							
64015, 1068283	улица 1-я Ямского Поля	2/4									
64052, 7005, 30847	улица Профсоюзная	65		4							
64072, 47715	улица Международная	9									
64697, 75213	улица Большая Никитская	17		2							
67319, 75735, 1293	улица Складочная	1		51							
67986, 58208	проспект Ленинградский	вл36	6								
70486, 45570	шоссе Калужское	14									
74036, 42424	бульвар Троицкий	2									
74121, 29092, 74793, 47661, 19396	переулок Петровский	5		3							
78485, 40127	переулок Лялин	3а									
79179, 75300	проспект Вернадского	86а									
80254, 54562, 72016, 40784, 73414, 50416	улица Дербеневская	15									
81670, 32750, 81080, 33137, 33133, 81669, 81671, 79204, 33141, 33154, 10570, 33153, 37431, 33121, 81783, 81668, 33149, 33126, 47196, 22360, 33155, 81672	набережная Пресненская	16б									
82989, 54252	переулок Большой Спасоглинищевский	12/3									
83835, 83450, 33980, 44246, 43062, 56173, 54247, 43087	улица Шарикоподшипниковская	3									
83970, 1376520	проспект Ленинградский	15		4							
1066402, 1060974, 3832, 1060595	проспект Ленинградский	15		12							
1221819, 29934, 8927, 50732, 1173121	переулок Малый Черкасский	2									
41569, 67648, 14025, 1062786, 19382, 1055988, 11863	переулок Большой Саввинский	2		9							
21169, 23026, 44377, 4710	проспект Ленинградский	39		79							
27880, 1224100, 61899, 41910, 32350	набережная Пресненская	4		2							
56646, 27449, 70229, 73989	проспект Ленинградский	37		12							
60128, 57901, 57880, 1058399, 45088	проезд 1-й Грайвороновский	20		35							
3755, 77296, 18822, 31602, 1468385, 50000, 48984, 66001, 1063406	улица Малая Никитская	27		4							
56707, 65055, 23580, 47483, 1061034, 4166	переулок Оружейный	41									
1058129, 1483671, 1056891	переулок Стрельбищенский	30		1а							
1061686, 1224880, 1468196	набережная Тараса Шевченко	9									
1066648, 1484287, 76862	улица Крылатская	17	2								
1068140, 6682, 22120	улица Ивана Франко	8	2								
1068277, 18188, 75249	улица Кожевническая	8/4		1							
12136, 2116, 7360	улица Старая Басманная	16/1б		6							
1222876, 1468371, 35179, 1242633	улица Большая Андроньевская	20									
1241122, 1380707, 1467853	набережная Софийская	26/1									
1241528, 60906, 61862	улица Поречная	10									
13067, 39630, 22898, 44023	переулок Большой Сухаревский	20		1							
1468841, 1175282, 1062274, 18997, 61540	улица 3-я Фрунзенская	19									
15789, 47754, 30751, 15786, 53880, 75278, 22770, 15785, 30797, 56202, 52550, 17241	улица Херсонская	43									
19333, 61279, 61868	проспект Кутузовский	32									
3183, 14982, 1380765, 41778, 41777, 21071	улица Одесская	2		3							
42820, 1067396, 39480, 17907, 32526, 41011, 43017, 31855, 1225213	улица Остоженка	24									
49345, 64071, 15250, 1068295	проезд 1-й Красногвардейский	20									
51825, 1243761, 1061423, 1243760	улица Тимура Фрунзе	24									
59771, 76671, 31623	улица Александра Лукьянова	3									
60417, 34242, 25149	улица Радио	10а		1							
60668, 49315, 67661	улица Беговая	6а									
62037, 61273, 1245260, 62023	улица Шаболовка	10	2								
70772, 30531, 35493	улица Щипок	8		1							
75257, 16996, 64051, 2388, 19269, 78224	проспект Ленинградский	36									
21717, 1063623, 1175335, 1240295, 1173529, 1467875, 1061815, 1380706, 28666, 1061851, 1064132, 1062445, 1222569	улица Фадеева	4									
52597, 48110, 64463, 1058522, 4352	проспект Академика Сахарова	10									
62795, 61283, 29783, 16701, 70730	улица Двинцев	12	1								
15076, 27259, 57594, 21216, 61951	улица Коровий Вал	5		1							
19036, 1068208, 1068258, 51453, 27922, 1021, 15034, 46021, 1226674, 1226730	переулок Стремянный	38									
2029, 1469542, 25765, 51636, 7784, 1224480	переулок Яковоапостольский	12		1							
1223581, 1244388, 82166, 1065394, 25909, 1391904	улица Большая Пионерская	20									
1380141, 21658, 1058114, 1243196	улица Бауманская	13		2							
14781, 18970, 1064550, 32359	улица Можайский Вал	8		6							
28833, 1066747, 1468680, 62933	улица Малая Якиманка	10									
28932, 55321, 43081, 44356	улица Родниковая	7		18							
42143, 54892, 26167, 1239492	проезд Дежнева	1									
60318, 1468685, 1392599, 48642	улица Поклонная	3	3								
67426, 67427, 32590, 1058992	улица Панфилова	11		1							
696, 33460, 31931, 65483	переулок Большой Афанасьевский	41а									
81718, 81715, 81716, 81717, 81719, 70524, 1067573, 32625, 33427, 33443, 33438, 33441, 35545, 39598, 83091, 7176, 33432, 33440	улица Мытная	вл40-44									
819, 27107, 65908, 913654, 1469765, 51230, 28608, 1143, 4909, 15283	проспект Ленинградский	37	1								
62096, 1451079, 29605, 1221228, 9625, 79400, 53366, 36832, 1224119, 63807, 15745	шоссе Варшавское	25а		6							
1469701, 40281, 1376771, 71010, 1469785, 27452	улица Николы Теслы	1		1							
1065346, 1223580, 1244387, 1174338, 1468502	проспект Мира	6									
11912, 1174378, 49002, 71358, 1391868	улица Новодмитровская	4		2							
1224580, 1376506, 1376486, 1376504, 1376507	бульвар Большой	42		1							
37494, 72295, 69025, 30072, 36902	улица Садовническая	29									
52260, 1468966, 1392483, 70810, 1245021	улица Садовая-Черногрязская	8		7							
37335, 77519, 1451563, 1467720, 28236, 29351, 1392266, 1058751	переулок Малый Конюшковский	2									
10902, 84055, 1224293, 1243483, 84365, 1066965, 84423, 46040	улица Таганская	3									
1225263, 955814, 1065617, 78196, 1225262, 1067802	проспект Ленинградский	36	13								
12848, 72435, 53423, 18603, 49619, 52698	улица Нобеля	1									
29947, 71747, 1060601, 70398, 31741, 35968	шоссе Ленинградское	16а		3							
33212, 41117, 49376, 78752, 1224944, 57122, 71338, 52726, 83073, 33624, 22506, 33605, 50651	улица Новолесная	7	2								
1469272, 24614, 78917, 955949, 75480, 14699, 14418, 20290, 3499, 26506, 37383, 58191, 13610, 24085, 5215	улица 1-я Брестская	29									
1449061, 1449054, 62576, 1449065, 1224750, 1449059, 1451471, 1225058, 62694	набережная Краснопресненская	6		8							
10244, 1376709, 35770, 21462, 13671, 26893, 1066486, 1062823, 65463	улица Летниковская	2		2							
18032, 56214, 77383, 13448, 1449822, 13787, 25261, 4528, 24314, 9533, 29391, 18894, 50982, 67083, 47900, 48481, 6673, 40503, 14078, 13254	улица Новослободская	41									
22792, 40603, 45244, 1224423, 45068, 53424, 62809, 10960, 16587, 36768, 50381, 43577, 76521, 10874	переулок Пожарский	15									
1060815, 1059363, 1172434, 1448816, 1467552, 1174358, 1467610, 1062889, 1173170	улица Фруктовая	14									
1068023, 80574, 1063576, 1068024, 74885, 68473, 1067796, 1067834, 1067707, 1067795	бульвар Смоленский	13		1							
66710, 4178, 66772, 82960, 33973, 41637, 44283, 66619, 83527, 49519	шоссе Ленинградское	16а		4							
9234, 1222890, 72108, 1242740, 1063354, 1468346, 24605, 35769, 1391902, 34499, 1174437, 27340	набережная Дербеневская	11а									
17, 83989, 40508, 67814, 67984, 18881, 57856, 21132, 67535, 65933, 1223364, 913641, 19552, 16930	бульвар Цветной	2									
51857, 21630, 1173797, 1060981, 70679, 76104, 1392219, 1063493, 1222247	улица Двинцев	12	1б								
7140, 62752, 67895, 21248, 1225275, 67893, 1225273, 67894, 1225274	проспект Ленинградский	37а		4							
1224722, 16507, 7022, 64020, 71037, 1244849, 43413, 19156, 49933, 1068276, 10744, 46295, 11532	улица Обручева	30/1		2							
1392248, 71069, 34174, 14898, 1062703, 1392247, 44487, 79125, 913733, 42453	шоссе Аминьевское	вл15									
73637, 43721, 71328, 33166, 82242, 77956, 54182, 79512, 49120, 39439	улица Бахрушина	18		3							
81645, 81644, 1067382, 60239, 60579, 21465, 1448909, 32984, 46706, 1067650, 1066238, 55720, 1376712, 76368, 32972, 1448999	улица Тимура Фрунзе	11		1							
54472, 4841, 51226, 30654, 69638, 69510, 1222751, 1065569, 57255, 55921, 23771, 4117, 54487, 1223762, 1174332, 58610, 72140, 15455, 6752	переулок Большой Гнездниковский	1		2							
60633, 47762, 12888, 48971, 32077, 11721, 913499, 1392259, 1065287, 18727, 130, 1392255, 44518, 64216, 7195, 2832, 6607, 43036	улица Бутырский Вал	10									
17938, 13959, 57378, 597, 1241195, 17928, 25242, 81570, 66943, 17922, 33939, 1392368, 1174467, 17946, 1063549, 20395, 1063131, 1066109, 17939, 17941, 66942, 66941, 71360, 48699	переулок Последний	19									
75930, 27147, 67901, 66430, 31851, 22229, 70795, 50833, 24471, 4041, 18787, 1376065, 1376066, 48153, 1376089, 75931, 48862	набережная Озерковская	22/24									
78625, 15373, 53820, 35622, 71501, 39074, 15065, 24316, 50617, 5286, 2986, 73045, 13170	улица Бакунинская	14		1							
58, 24394, 1224466, 1224660, 79172, 29665, 60591, 1244530, 79092, 59995, 57300, 8841, 1241214, 3800, 42805, 1061527	набережная Космодамианская	52		5							
1225162, 62615, 1244519, 1469676, 48246, 1064764, 1064121, 68634, 60574, 32707, 56862, 1225267	набережная Космодамианская	52		2							
19257, 79230, 15021, 75170, 76097, 77139, 36105, 72471, 77140, 40935, 44394, 11099, 73586, 40233	улица Садовническая	14		1							
1380690, 1243191, 1376224, 1242186, 1469386, 1242212, 1242918, 1242923, 1242588, 1468186, 15774, 1468425, 1242305, 1380538, 19939	проспект Волгоградский	43	3								
63259, 1067344, 64283, 1239669, 1379829, 1467140, 46475, 1057735, 1058556, 30015, 60693, 1175673, 22736, 16130, 1264, 1919, 49503, 46083, 79114, 1066883, 1225171, 60444, 60692	набережная Пресненская	10бло									
1175903, 1241118, 1244561, 1224914, 1224926, 1175886, 53512, 1392437, 1448764, 1241408, 1064531, 1064532, 1226689, 1380393, 1469636, 1064630	улица Бутырский Вал	68/70		4							
83567, 66761, 43100, 29920, 66759, 83564, 66760, 83565, 7812, 28980, 34003, 83563, 7813, 83566	шоссе Куркинское	32									
1062255, 1064321, 79810, 1174407, 1176011, 955925, 1067960, 1175061, 1065958, 1173741, 65635, 1066841, 1062936, 1063016, 1224407, 1062580	улица Рочдельская	20									
14574, 68295, 20766, 68294, 80353, 1376689, 27783, 28727, 68234, 32661, 34180, 57218, 50017, 25057, 23221, 43247, 167, 42429, 56158, 55929, 3228, 27355, 11429, 11507, 56166	проспект Ленинградский	39									
1067861, 65333, 26670, 34117, 1226224, 69725, 82379, 1241594, 1376151, 1380251, 1380384, 39482, 1067621, 1066946, 1467207, 1060089, 14143, 1172399, 37460, 48907, 1059512, 1060123, 6286, 56033, 1221515	проспект 60-летия Октября	10а									
13583, 74568, 75105, 62353, 7190, 39846, 76992, 1066551, 31580, 1223665, 39461, 64384, 58441, 1065214, 79707, 1468063, 69423, 1174954, 23783, 31581, 1484189, 43848, 1067384, 1380910, 7	улица Одесская	2	в								
1067385, 1063085, 1063882, 56871, 21093, 33728, 1225021, 1062972, 1060971, 1469518, 34675, 1068309, 1224678, 1062172, 1062160, 1063255, 1224973, 1061928, 1060381, 1063243	набережная Саввинская	11									
66687, 6754, 80390, 1065714, 1224812, 66673, 62572, 7530, 1224084, 44312, 83513, 65906, 1379494, 83544, 17157, 20952, 66674, 56212, 8485, 73	набережная Космодамианская	52		3							
72810, 74134, 6990, 25445, 31012, 22021, 1060508, 37708, 483, 49646, 41007, 82337, 31011, 48488, 56845, 72814, 13221, 5240, 4709, 2251, 2963, 18696, 22268, 1059162, 1059367, 4979, 4902, 52551, 8897	площадь Европы	2									
1407, 57673, 72786, 75961, 26172, 54899, 22503, 1065885, 22309, 54132, 55040, 1066564, 1469484, 1484231, 1225224, 1224585, 4522, 5219, 27015, 1392350, 46679, 1061371, 14288, 6609, 1469760, 1469754, 5602, 43805	площадь Павелецкая	2		1							
75715, 15801, 67162, 1066562, 16144, 3796, 27959, 67163, 21463, 1067579, 57174, 67302, 1175352, 20688, 81615, 1063838, 48275, 1241625, 1174904, 30977, 14133, 32759, 34310, 1224203, 75714, 75716, 1467983, 29795, 18183, 1468734, 47949, 1241624, 49003, 61945, 54829, 68951, 33539, 1067220, 2781, 3125, 32762	проспект Ленинский	119а									
57667, 77574, 1224681, 22113, 669, 627, 60369, 69367, 78359, 12825, 21304, 73784, 1380745, 1392070, 763, 35767, 69794, 56429, 73639, 54071, 74254, 72751, 11799, 1468815, 1175308, 15601, 52832, 1060411, 81944, 72231	бульвар Страстной	8а									
63484, 59393, 78203, 62313, 14917, 50814, 1225088, 42873, 8495, 40535, 1469597, 1469596, 41556, 62647, 56873, 1376733, 1469784, 1451545, 11779, 75284, 1068239, 1244903, 82954	бульвар Большой	40									
8227, 77502, 16720, 64843, 1244482, 1174695, 1223612, 1376401, 32319, 1380278, 1391790, 1467715, 1063397, 1063405, 1468247, 558, 1468432, 1468549, 1468639, 1391712, 1391851, 1483861, 81529, 1468267, 1063988	улица Краснопролетарская	30		1							
38010, 78446, 1067689, 75884, 79053, 1174454, 1172084, 84073, 50360, 69137, 9994, 43385, 1239868, 955913, 1064940, 1065540, 1174453, 45892, 30199, 1175060, 78537, 21851, 32613, 38003, 10207, 1067688, 22518, 1064012, 58838, 79826, 34164, 47783	набережная Пресненская	2									
81642, 70482, 81641, 81643, 23307, 63221, 74607, 64938, 1224789, 39344, 1067595, 83934, 1223432, 84374, 79195, 76205, 78219, 1175113, 31493, 32954, 32969, 1448715, 43167, 40351, 1067517, 1068060, 1391701, 52004, 1376170, 32960, 1241179, 32963, 29194, 1222231, 69244, 1467883, 32968, 14872	улица Шарикоподшипниковская	5									
1065511, 67688, 1224753, 1224768, 8242, 60635, 65866, 27326, 29575, 1223770, 13725, 15950, 41105, 1467880, 6707, 1391835, 62660, 32879, 56151, 34297, 15209, 10434, 27835, 35692, 4882, 1468334, 79185, 62659, 18607, 1222182, 19917, 6299, 65905	набережная Космодамианская	52		4							
3123, 1064717, 9271, 1065620, 1063594, 65790, 67079, 1224696, 1222723, 1223423, 1223761, 1174738, 1242589, 32449, 63004, 1068152, 62454, 1066048, 1063906, 1468393, 1391872, 36379, 3124, 1242437, 1674, 58201, 42840, 19880, 1062858, 15204, 29578, 72857, 3935, 1667, 2759, 9682	набережная Овчинниковская	20		1							
1068304, 75128, 44842, 37313, 81618, 56728, 64085, 60578, 81619, 83138, 66671, 73178, 13341, 29362, 33943, 16493, 60524, 1065749, 69968, 46848, 1244892, 80315, 1066662, 62590, 69966, 32785, 1469665, 66669, 41624, 1067747, 36738, 72845, 49289, 1376695, 10464, 20163, 2878, 28549, 60597, 6023, 6021, 2600, 37720, 20139, 7067, 71644, 2403, 48320, 41629, 77466, 66670, 10109, 15238, 1062777, 69967, 1063339, 2075, 6543	проспект Нахимовский	58									
32127, 75970, 42096, 14671, 76533, 64044, 75395, 33769, 66027, 20240, 9671, 40894, 23444, 913578, 41532, 18669, 32126, 1065474, 1063398, 913438, 27801, 1068362, 1449167, 1242023, 1242027, 75394, 47792, 75971, 1469743, 66911, 1225211, 29457	улица Крылатская	17	1								
56243, 35899, 78897, 60921, 65646, 1224802, 74484, 1223614, 54485, 1224554, 78896, 76552, 1244488, 1224539, 75453, 1469486, 1391903, 1392417, 83401, 57808, 68727, 32170, 1061170, 399, 1174698, 13810, 29284, 1469450, 10804, 34195, 56972	бульвар Чистопрудный	17		1							
28409, 20170, 1638, 72761, 51054, 7434, 24099, 77402, 28062, 28390, 69032, 23919, 26591, 29346, 70438, 5816, 74786, 25931, 68373, 7427, 78227, 54147, 30951, 1174966, 53033, 57748, 78062, 1223991, 20979, 61297, 1174351, 1174621, 1175197, 1065725, 50165, 4430, 5148, 4047, 23651, 1480, 25003, 3101, 1307, 20011, 54759, 52393, 36435, 952, 28540, 1389, 2039, 37642, 27847, 46313, 40436, 36209, 13552, 1223958, 53143, 76536, 48059, 76592, 51308, 1059823, 36523, 4142, 6290, 4826, 22910, 76579	шоссе Головинское	5а									
47695, 13591, 81019, 17914, 23396, 6343, 1379784, 1067117, 37307, 49372, 74400, 82133, 63950, 1242903, 22168, 1057732, 1065294, 62015, 40947, 1057440, 58617, 1057571, 1058022, 41444, 41432, 36270, 63388, 25375, 23769, 1221071, 3346, 1375550, 4300, 1221028, 1910, 1448518, 61156, 42809, 26556, 51646, 77607, 69514, 6064, 6695	шоссе Алтуфьевское	48	1								
67582, 67581, 76651, 82969, 1067725, 81692, 81693, 1244237, 35887, 41731, 43112, 54202, 54201, 67579, 33309, 67578, 1067387, 75046, 1376748, 41727, 54199, 14324, 65539, 67580, 33294, 1067805, 41025, 65353, 65538, 41726, 43109, 1066674, 65537, 1066746, 1067763, 43174, 33302, 41733	проспект Ленинградский	35									
53824, 7215, 47613, 20632, 519, 81474, 24658, 25282, 65582, 9715, 31922, 30798, 1379830, 1224214, 52911, 43578, 1466666, 1243136, 1068167, 1175427, 52135, 69876, 70196, 1067361, 1067828, 16663, 84173, 27844, 5853, 24365, 68846, 12267, 1490, 37035, 54952, 913435, 84385, 58251, 54584, 75506, 1376566, 81384, 81385, 58482, 1056816, 1063211, 4098, 5678, 1376631	улица Воздвиженка	10									
13909, 67030, 32099, 67026, 67029, 50939, 17702, 77243, 32105, 16938, 27425, 67027, 67031, 32103, 75466, 21275, 32131, 62449, 14027, 75467, 75468, 43118, 13911, 75465, 32185, 9217, 52729, 33924, 16601, 25913, 22386, 31141, 52631, 72503, 49610, 75469, 67028, 75470, 32112, 17320	улица Беговая	3		1							
32377, 1064110, 7083, 68230, 40875, 12145, 1067614, 1067615, 19502, 19860, 81545, 29167, 32374, 81546, 1067687, 12273, 17777, 1224666, 14481, 83503, 1469429, 24847, 73513, 17776, 1061050, 1067445, 1067570, 1066309, 1067743, 81991, 9233, 1469475, 69758, 40541, 14922, 17785, 32373, 48505, 1063217, 1062957, 1061883, 17782	улица Летниковская	2		1							
